Message  | Plan: 'Simulacao_Bacia_Completa' (Itajai_Bacia_Completa.p01)
Progress | 0.36
Progress | 0.387
Progress | 0.412
Progress | 0.44
Progress | 0.467
Progress | 0.492
Progress | 0.516
Progress | 0.54
Progress | 0.567
Progress | 0.592
Progress | 0.62
Progress | 0.647
Progress | 0.672
Progress | 0.7
Progress | 0.727
Progress | 0.752
Progress | 0.78
Progress | 0.807
Progress | 0.832
Progress | 0.86
Progress | 0.887
Progress | 0.912
Progress | 0.94
Progress | 0.967
Progress | 0.992
Progress | 1
Message  | 
Message  | Finished Post Processing
Message  | 
Message  | 
Message  | PROCESS:RasProcess
Message  | Generating Time Series Post Process File ...
Message  |    Writing 1D Data: Water-Surface
Progress | 35
Message  |    Writing 1D Data: Flow
Progress | 50
Progress | 100
Message  | Time Series Post Process file generated [96 ms]
Message  | 
Message  | Computations Summary
Message  | 
Message  | Computation Task	Time(hh:mm:ss)
Message  | Completing Geometry, Flow and Plan	       1
Message  | Preprocessing Geometry	       1
Message  | Unsteady Flow Computations	       1
Message  | Post-Processing	<1
Message  | Generating Time Series Post Process	<1
Message  | Complete Process	       5
Message  | 
Message  | Computation Speed	Simulation/Runtime
Message  | Unsteady Flow Computations	140032x
Message  | Complete Process	32245x
